year,Position,Category,Name,Country,Finals,event,Gender
1995,3rd,Competition,Gabriela Montero,Venezuela,True,International Chopin Piano Competition,female
2000,1st,Competition,Yundi Li,China,True,International Chopin Piano Competition,unknown
2000,2nd,Competition,Ingrid Fliter,Argentina,True,International Chopin Piano Competition,female
2000,3rd,Competition,Alexander Kobrin,Russia,True,International Chopin Piano Competition,male
2005,1st,Competition,Rafał Blechacz,Poland,True,International Chopin Piano Competition,male
2005,3rd,Competition,Dong-Hyek Lim,South Korea,True,International Chopin Piano Competition,unknown
2010,1st,Competition,Yulianna Avdeeva,Russia,True,International Chopin Piano Competition,unknown
2010,2nd,Competition,Lukas Geniušas,Russia Lithuania,True,International Chopin Piano Competition,male
2010,3rd,Competition,Daniil Trifonov,Russia,True,International Chopin Piano Competition,male
2015,1st,Competition,Seong-Jin Cho,South Korea,True,International Chopin Piano Competition,unknown
2015,2nd,Competition,Charles Richard -Hamelin,Canada,True,International Chopin Piano Competition,male
2015,3rd,Competition,Kate Liu,United States,True,International Chopin Piano Competition,female
2021,1st,Competition,Bruce Liu,Canada,True,International Chopin Piano Competition,male
2021,2nd,Competition,Kyohei Sorita,Japan,True,International Chopin Piano Competition,male
2021,3rd,Competition,Martín García García,Spain,True,International Chopin Piano Competition,male
1962,1st,Competition,Ralph Votapek,United States,True,Van Cliburn International Piano Competition,male
1962,2nd,Competition, Nikolai Petrov,Soviet Union,True,Van Cliburn International Piano Competition,male
1962,3rd,Competition, Mikhail Voskresensky,Soviet Union,True,Van Cliburn International Piano Competition,male
1966,1st,Competition,Radu Lupu,Romania,True,Van Cliburn International Piano Competition,male
1966,2nd,Competition, Barry Lee Snyder,United States,True,Van Cliburn International Piano Competition,male
1966,3rd,Competition, Blanca Uribe [es],Colombia,True,Van Cliburn International Piano Competition,female
1969,1st,Competition,Cristina Ortiz,Brazil,True,Van Cliburn International Piano Competition,female
1969,2nd,Competition, Minoru Nojima,Japan,True,Van Cliburn International Piano Competition,mostly_male
1969,3rd,Competition, Mark Westcott,United States,True,Van Cliburn International Piano Competition,male
1973,1st,Competition,Vladimir Viardo,Soviet Union,True,Van Cliburn International Piano Competition,male
1973,2nd,Competition, Christian Zacharias,West Germany,True,Van Cliburn International Piano Competition,male
1973,3rd,Competition, Michael James Houstoun,New Zealand,True,Van Cliburn International Piano Competition,male
1977,1st,Competition,Steven De Groote,South Africa,True,Van Cliburn International Piano Competition,male
1977,2nd,Competition, Alexander Toradze,Soviet Union,True,Van Cliburn International Piano Competition,male
1977,3rd,Competition, Jeffrey Swann,United States,True,Van Cliburn International Piano Competition,male
1981,1st,Competition,Andre-Michel Schub,France,True,Van Cliburn International Piano Competition,unknown
1981,2nd,Competition, Panayis Lyras,United States,True,Van Cliburn International Piano Competition,unknown
1981,2nd,Competition, Santiago Rodriguez,United States,True,Van Cliburn International Piano Competition,male
1985,1st,Competition,José Feghali,Brazil,True,Van Cliburn International Piano Competition,male
1985,2nd,Competition, Philippe Bianconi,France,True,Van Cliburn International Piano Competition,male
1985,3rd,Competition, Barry Douglas,United Kingdom,True,Van Cliburn International Piano Competition,male
1989,1st,Competition,Alexei Sultanov,Soviet Union,True,Van Cliburn International Piano Competition,male
1989,2nd,Competition, José Carlos Cocarelli,Brazil,True,Van Cliburn International Piano Competition,male
1989,3rd,Competition, Benedetto Lupo,Italy,True,Van Cliburn International Piano Competition,male
1993,1st,Competition,Simone Pedroni,Italy,True,Van Cliburn International Piano Competition,female
1993,2nd,Competition, Valery Kuleshov,Russia,True,Van Cliburn International Piano Competition,male
1993,3rd,Competition, Christopher Taylor,United States,True,Van Cliburn International Piano Competition,male
1997,1st,Competition,Jon Nakamatsu,United States,True,Van Cliburn International Piano Competition,male
1997,2nd,Competition, Yakov Kasman,Russia,True,Van Cliburn International Piano Competition,male
1997,3rd,Competition, Aviram Reichert,Israel,True,Van Cliburn International Piano Competition,male
2001,1st,Competition,Stanislav Ioudenitch,Uzbekistan,True,Van Cliburn International Piano Competition,male
2001,1st,Competition,Olga Kern,Russia,True,Van Cliburn International Piano Competition,female
2001,2nd,Competition, Maxim Philippov,Russia,True,Van Cliburn International Piano Competition,male
2001,2nd,Competition, Antonio Pompa-Baldi,Italy,True,Van Cliburn International Piano Competition,male
2005,1st,Competition,Alexander Kobrin,Russia,True,Van Cliburn International Piano Competition,male
2005,2nd,Competition, Joyce Yang,South Korea,True,Van Cliburn International Piano Competition,female
2005,3rd,Competition, Sa Chen,China,True,Van Cliburn International Piano Competition,andy
2009,1st,Competition,Nobuyuki Tsujii,Japan,True,Van Cliburn International Piano Competition,male
2009,1st,Competition,Haochen Zhang,China,True,Van Cliburn International Piano Competition,unknown
2009,2nd,Competition, Yeol Eum Son,South Korea,True,Van Cliburn International Piano Competition,andy
2013,1st,Competition,Vadym Kholodenko,Ukraine,True,Van Cliburn International Piano Competition,male
2013,2nd,Competition, Beatrice Rana,Italy,True,Van Cliburn International Piano Competition,female
2013,3rd,Competition, Sean Chen,United States,True,Van Cliburn International Piano Competition,male
2017,1st,Competition,Yekwon Sunwoo,South Korea,True,Van Cliburn International Piano Competition,unknown
2017,2nd,Competition, Kenneth Broberg,United States,True,Van Cliburn International Piano Competition,male
2017,3rd,Competition, Daniel Hsu,United States,True,Van Cliburn International Piano Competition,male
2022,1st,Competition,Yunchan Lim,South Korea,True,Van Cliburn International Piano Competition,unknown
2022,2nd,Competition, Anna Geniushene,Russia,True,Van Cliburn International Piano Competition,female
2022,3rd,Competition, Dmytro Choni,Ukraine,True,Van Cliburn International Piano Competition,male
